Name,RA,Dec,Dist. (ly)
144 G. Aqr,22h 26m 10.70s,"?23° 40' 56.8""",495
197 G. Aqr,22h 57m 17.21s,"?04° 48' 36.3""",413
HD 214810,22h 40m 47.96s,"?03° 33' 14.9""",109
96 G. Aqr,21h 58m 13.28s,"?05° 25' 28.8""",181
HD 219659,23h 17m 40.06s,"?11° 42' 46.6""",389
38 G. Aqr,21h 04m 45.32s,"+02° 16' 11.8""",388
53 Aqr A,22h 26m 34.40s,"?16° 44' 33.0""",
113 G. Aqr,22h 09m 28.94s,"?23° 39' 32.8""",514
56 Aqr,22h 30m 17.33s,"?14° 35' 08.3""",633
196 G. Aqr,22h 55m 30.57s,"?20° 08' 21.7""",695
R Aqr,23h 43m 49.50s,"?15° 17' 04.0""",643
189 G. Aqr,22h 54m 05.60s,"?19° 10' 30.5""",481
237 G. Aqr,23h 28m 05.14s,"?11° 26' 58.9""",369
15 G. Aqr,20h 53m 05.57s,"?11° 34' 25.5""",147
HD 202259,21h 14m 37.03s,"+00° 05' 32.2""",685
20 Aqr,21h 24m 51.68s,"?03° 23' 53.6""",213
251 G. Aqr,23h 38m 02.98s,"?15° 05' 41.4""",338
29 Aqr,22h 02m 26.25s,"?16° 57' 53.4""",471
121 G. Aqr,22h 12m 43.89s,"?04° 43' 14.1""",305
HD 211575,22h 18m 04.30s,"?00° 14' 15.1""",135
58 Aqr,22h 31m 41.28s,"?10° 54' 19.7""",225
61 Aqr,22h 35m 48.82s,"?17° 27' 37.1""",465
240 G. Aqr,23h 31m 01.15s,"?06° 17' 16.8""",2433
67 Aqr,22h 43m 14.25s,"?06° 57' 46.5""",368
248 G. Aqr,23h 35m 32.07s,"?07° 27' 52.1""",453
57 G. Aqr,21h 17m 13.54s,"?13° 16' 44.3""",609
IZ Aqr,21h 34m 42.76s,"+01° 49' 45.1""",1552
152 G. Aqr,22h 30m 01.39s,"?12° 54' 54.4""",264
213 G. Aqr,23h 09m 49.53s,"?14° 30' 37.9""",345
236 G. Aqr,23h 26m 35.44s,"?21° 44' 27.0""",396
18 G. Aqr,20h 53m 58.37s,"?06° 53' 21.9""",230
14 Aqr,21h 16m 17.78s,"?09° 12' 52.8""",1831
72 G. Aqr,21h 25m 51.55s,"+00° 32' 03.5""",284
HD 215114,22h 43m 03.40s,"?08° 18' 41.2""",617
1 G. Aqr,20h 39m 05.86s,"?04° 55' 46.2""",234
233 G. Aqr,23h 24m 04.02s,"?21° 46' 27.2""",204
EW Aqr,21h 11m 41.31s,"?14° 28' 20.6""",439
55 G. Aqr,21h 16m 39.46s,"?01° 36' 27.8""",845
34 G. Aqr,21h 02m 59.62s,"?00° 55' 29.1""",1455
241 G. Aqr,23h 31m 31.40s,"?04° 05' 13.0""",86
10 Aqr,21h 00m 32.660s,"?05° 28' 38.46""",400
9 Aqr,21h 01m 08.33321s,"?13° 31' 47.9702""",700
HD 210277,22h 09m 29.87s,"?07° 32' 55.2""",69
37 Aqr,22h 10m 31.74s,"?10° 49' 13.7""",444
24 Aqr,21h 39m 31.39s,"?00° 03' 04.1""",141
8 Aqr,20h 59m 54.82678s,"?13° 03' 05.8699""",290
85 Aqr,23h 05m 52.53078s,"?07° 56' 12.1660""",
75 Aqr,22h 54m 07.12256s,"?12° 11' 25.5328""",
54 Aqr,22h 26m 41.66612s,"?11° 13' 41.5205""",270
36 Aqr,22h 09m 26.87980s,"?08° 11' 08.6206""",520
72 Aqr,22h 50m 46.30141s,"?07° 18' 42.9276""",
65 Aqr,22h 43m 01.21581s,"?10° 06' 09.6755""",
84 Aqr,23h 05m 18.51768s,"?07° 45' 16.8614""",
87 Aqr,23h 07m 11.70181s,"?07° 41' 40.4985""",
HD 212771,22h 27m 03.07s,"?17° 15' 49.2""",397
HD 222582,23h 41m 51.53s,"?05° 59' 08.7""",137
HD 220689,23h 25m 53s,"?20° 36' 58""",145
Gliese 884,23h 00m 16.12s,"?22° 31' 27.65""",26.8
HD 215152,22h 43m 21s,"?06° 24' 03""",70
HD 221416,23h 32m 08.1s,"?21° 48' 05""",310
HD 206610,21h 43m 24.90s,"?07° 24' 29.7""",555
Gliese 898,23h 32m 49.398s,"?16° 50' 44.32""",45.5
104 Aqr B,23h 41m 46.39s,"?17° 47' 00.5""",911
WASP-69,21h 00m 06.0s,"?05° 05' 40""",163
Gl 876,22h 53m 16.73s,"?14° 15' 49.3""",15.3
Gl 849,22h 09m 40.35s,"?04° 38' 26.6""",29
WASP-70 A,21h 01m 54.0s,"?13° 26' 00""",799
WASP-75,22h 49m 33.0s,"?10° 40' 32""",848
AE Aqr,20h 40m 09.16s,"?00° 52' 15.0""",333
WASP-177,22h 19m 11.0s,"?01° 50' 04""",581
WASP-47,22h 04m 49.0s,"?12° 01' 08""",652
EZ Aqr,22h 38m 33.62s,"?15° 17' 59.2""",11.3
WASP-6,23h 12m 38.0s,"?22° 40' 26""",1001
WASP-147,23h 56m 46.0s,"?22° 09' 11""",1389
LP 876-10,22h 48m 04.47s,"?24° 22' 07.5""",
WASP-165,23h 50m 19.3s,"?17° 04' 39""",
BPS CS22892-0052,22h 17m 01.5s,"?16° 39' 26""",15330
FO Aqr,22h 17m 55.43s,"?08° 21' 04.6""",
