name,RA,inclination,distance in ly
GY And,01h 38m 31.84s,"+45° 23' 58.9""",455
,02h 08m 33.55s,"+44° 27' 34.4""",430
,23h 07m 04.99s,"+35° 38' 11.3""",638
,01h 35m 52.46s,"+41° 04' 35.1""",388
V529 And,01h 27m 26.67s,"+41° 06' 04.0""",182
,23h 02m 11.32s,"+44° 34' 22.4""",359
HD 222641,23h 42m 14.68s,"+44° 59' 30.3""",786
HD 7853,01h 18m 47.02s,"+37° 23' 10.7""",456
,02h 19m 22.77s,"+48° 57' 19.0""",210
,23h 17m 16.59s,"+45° 09' 51.5""",241
HD 6114,01h 03m 01.47s,"+47° 22' 34.3""",337
,01h 57m 59.23s,"+47° 05' 43.9""",1140
ET And,23h 17m 55.99s,"+45° 29' 20.2""",545
HD 222399,23h 40m 02.82s,"+37° 39' 10.2""",291
PY And,00h 36m 20.00s,"+27° 15' 17""",701
,00h 12m 34.08s,"+44° 42' 26.1""",517
59 And B,02h 10m 53.67s,"+39° 02' 36.0""",1698
HD 222155,23h 38m 00s,"+48° 59' 47""",160
HD 16175,02h 37m 01.91s,"+42° 03' 45.5""",195
R And,00h 24m 01.95s,"+38° 34' 37.3""",790
HD 1605,00h 20m 32.0s,"+30° 58' 29""",276
HD 13931,02h 16m 47.38s,"+43° 46' 22.8""",144
HD 5583,00h 57m 57.0s,"+34° 59' 08""",721
RW And,00h 47m 18.92s,"+32° 41' 08.6""",1375
GRB 34,00h 18m 22.9s,"+44° 01' 22""",11.62
HD 15082,02h 26m 51.06s,"+37° 33' 01.7""",377
RU And,01h 38m 37s,"38° 40' 12""",
Y And,01h 39m 36.89s,"+39° 20' 35""",8
Z And,23h 33m 39.95s,"+48° 49' 05.9""",1393
HAT-P-6,23h 39m 05.81s,"+42° 27' 57.5""",650
HAT-P-16,00h 38m 17.56s,"+42° 27' 47.2""",766
HAT-P-32,02h 01m 10s,"+46° 41' 16""",1044
WASP-1,00h 20m 40.08s,"+31° 59' 23.8""",1239
Ross 248,23h 41m 54.99s,"+44° 10' 40.8""",10.32
HAT-P-19,00h 38m 04s,"+34° 42' 42""",701
HAT-P-28,00h 52m 00s,"+34° 43' 42""",1288
HAT-P-53,01h 27m 29.0s,"+38° 58' 05""",2345
S And,00h 42m 43.11s,"+41° 16' 04.2""",2600000
