Name,RA,Dec,Dist. (ly)
,17h 32m 14.88s,"+11° 55' 48.0""",495
V2393 Oph,18h 33m 23.30s,"+08° 16' 05.8""",1583
123 G. Oph,17h 19m 46.49s,"+02° 08' 22.1""",599
205 G. Oph,18h 13m 52.22s,"+02° 23' 36.6""",1173
31 G. Oph,16h 38m 47.73s,"?08° 37' 06.9""",881
138 G. Oph,17h 25m 57.84s,"?01° 39' 06.9""",201
174 G. Oph,17h 49m 19.05s,"+01° 57' 40.4""",342
,16h 28m 42.35s,"+00° 03' 18.3""",299
23 G. Oph,16h 30m 30.02s,"?07° 30' 52.0""",1874
38 G. Oph,16h 40m 56.42s,"?08° 18' 34.7""",499
,17h 30m 22.65s,"+11° 55' 26.3""",309
52 Oph,17h 35m 18.50s,"?22° 02' 37.7""",883
64 G. Oph,16h 58m 41.56s,"?14° 52' 10.6""",158
,18h 34m 47.49s,"+10° 53' 31.2""",635
20 G. Oph,16h 28m 48.99s,"?08° 07' 43.2""",151
HD 156846,17h 20m 34.31s,"?19° 20' 01.5""",160
GJ 688,17h 39m 16.9s,"+03° 33' 18.8""",35
? Oph,17h 18m 00.64s,"?24° 17' 02.7""",481
29 Sco,17h 14m 14.25s,"?26° 59' 03.9""",304
HD 154088,17h 04m 28s,"?28° 34' 58""",58
HD 155233,17h 11m 04.0s,"?20° 39' 16""",245
38 Oph,17h 17m 39.53s,"?26° 37' 44.5""",438
HD 148427,16h 28m 28.15s,"?13° 23' 58.7""",193
18 Oph,16h 49m 44.40s,"?24° 38' 24.0""",
HD 150433,16h 41m 08s,"?02° 51' 26""",97
Gl 673,17h 25m 45.23s,"+02° 06' 41.1""",25
HD 157172,17h 22m 35s,"?19° 36' 58""",104
HD 149143,16h 32m 51.05s,"+02° 05' 05.4""",207
HD 170469,18h 29m 10.98s,"+11° 41' 43.8""",212
HD 164509,18h 01m 31s,"+00° 06' 16""",170
HD 171028,18h 32m 15.49s,"+06° 56' 44.7""",294
HD 152581,16h 53m 44s,"+11° 58' 25""",607
HD 159243,17h 33m 22.0s,"+05° 42' 03""",226
Barnard's Star,17h 57m 48.50s,"+04° 41' 36.2""",5.94
Wolf 1061,16h 30m 18.06s,"?12° 39' 45.3""",13.91
HAT-P-57,18h 48m 58.0s,"+10° 35' 50""",988
WASP-163,17h 06m 09.0s,"?10° 24' 47""",
COROT-6,18h 44m 17.42s,"+06° 39' 48.0""",
GJ 1214,17h 15m 18.94s,"+04° 57' 49.7""",42
COROT-25,18h 42m 31.0s,"+06° 30' 50""",3262
COROT-29,18h 35m 37.0s,"+06° 28' 47""",2495
COROT-26,18h 39m 00.0s,"+06° 58' 12""",5447
SN 1604,17h 30m 35.98s,"?21° 28' 56.2""",
